input_text,target_text
באיזו תחנת רדיו משודר שודדי פיטסבורג,KDKA-FM
מי המאמן של טורונטו ראפטורס,ניק נורס
מי כתב את השיר,ג'וני כריסטופר
מי הוא השחקן שמגלם את ג'ון וויק,קיאנו ריבס
מי שר את השיר תסתכלי עלי עכשיו,פיל קולינס
back in the high life again מי שר את,סטיב וינווד
going to the chapel and we're gonna get married מי שר,The Dixie Cups
ממה עשוי הדגל האמריקני,ניילון
מאיפה הגיע פסל החירות,ליברטי איילנד
מי שר את come together right now over me,הביטלס
מי הוא השחקן הראשי בתוכנית החץ,קייטי קסידי
למי יש את הרקורד הטוב ביותר בליגה הבכירה,ניו יורק יאנקיז
now that we found love what are we gonna do with it מי שר,היווי ד
מי גילמה את דמותה של בלה בהיפה והחיה,אמה ווטסון
מתי נכתב השיר while my guitar gently weeps,1968
fox on the run מי שר את השיר,סוויט
כמה זה 10 בחזקת 10,10000000000.0
מה הייתה עוצמתה של רעידת האדמה של נורת'רידג',6.7
מי שר את bartender i really did it this time,Rehab
מה האוכלוסייה הנוכחית של פיניקס אריזונה,1626000.0
למי יש הכי הרבה פרסי גראמי בכל הזמנים,גאורג שולטי
מהי האוכלוסייה הנוכחית של אלבוקרקי במקסיקו החדשה,558545.0
מי שר את השיר i can see clearly now,ריי צ'ארלס
מי היה הנשיא הראשון בדרום אפריקה,נלסון מנדלה
מתי הם בנו את פסל החירות,1875-09
here comes the sun מי כתב את השיר,ג'ורג' האריסון
מה היה הסרט הראשון בצבע,עם המלך והמלכה שלנו דרך הודו
כמה פרקים יש בעונה השנייה של אקדמיית הגיבורים שלי,25.0 אפיזודה
מתי יוצא לוח הזמנים של ליגת העל,2019-06-13
מי שר את השיר חבורת דבש פאי סוכר,ארבע הפסגות
איפה שוחק משחק היכל התהילה,ארצות הברית
מהו פרס הזכייה בתוכנית אתה חושב שאתה יכול לרקוד,250000.0 דולר אמריקני
מי שר את השיר fly me to the moon,פרנק סינטרה
מתי יצא הסרט power rangers mystic force,2006-02-20
כמה משחקים משחקות כל קבוצה ב אנ בי איי,82.0
מי הילדה שמשחקת בחמישים גוונים של אפור,דקוטה ג'ונסון
מי משחק את החתול בחתול תעלול,מייק מאיירס
מי מבצע את קולה של ויני על באיש משפחה,טוני סיריקו
מי שר את מה שלא הורג אותך מחזק אותך,קלי קלרקסון
מי ניצח את אליפות העולם בחמש שנים האחרונות,יוסטון אסטרוס
מתי יצאה הקריאה של העולם במלחמה,2008-11-11
למי יש הכי הרבה להיטי קאנטרי מספר 1,ג'ורג' סטרייט
what condition my condition was in מי שר את השיר,בטי לווט
מי גילמה את דמות האמא בסדרה מופע שנות ה-70,דברה ג'ו ראפ
"מה האוכלוסייה של ""סאמטר"" דרום קרוליינה",39982.0
מתי מצעד הגייז בשיקגו אילינוי,2019-06-30
מי גילם את גאסטון ביפה והחיה,לוק אוונס
כמה ימי חובה קדושים יש בכנסייה הקתולית,6.0
wild thing you make my heart sing מי שר את,הטרוגס
האם היה אי פעם הוריקן בשם קטי,yes
מי שר את השיר האם ראית אי פעם את הגשם,קרידנס קלירווטר רבייבל
מתי נכתבה הצהרת זכויות האדם,1948
איפה תוכנית הטלוויזיה דברים מוזרים צולמה,אטלנטה
אילו צוותים נמצאים בוועידת השמש האטלנטית,אוניברסיטת ליברטי
מי כתב של השיר you broke up with me,ווקר האייס
מה הטמפרטורה החמה ביותר שתועדה בניו יורק,108.0 מעלות פארנהייט
למי יש את הרוב בקונגרס כיום,המפלגה הרפובליקנית
איפה היה קרב גיטסבורג,פנסילבניה
מתי בפעם האחרונה שיקגו קאבס זכו בוורלד סיריס,2016
מי עלתה לפריימיר ליג שנה שעברה,קארדיף סיטי
לאיזו מילה בשפה האנגלית יש את הכי הרבה הברות,Pneumonoultramicroscopicsilicovolcanoconiosis
מהי בירת מדינת ניו מקסיקו,סנטה פה
מי מחזיק בשיא העולם בעוצרת נשימה הכי ארוכה,טום סיאטס
מי היה האיש הרע בשומרי הגלקסיה,רונאן המאשים
אם הרפובליקה של אירלנד היא חלק מהממלכה המאוחדת,no
מתי היה הפרק הראשון של על שוטים ואנשים,1981-09-08
מתי הייתה הפעם האחרונה שנאדל זכה בווימבלדון,2010
מי משחק את avery ב dog with a blog,ג'י הנליוס
twinkle twinkle little star מי כתב את השיר,ג'יין טיילור
מי שר את השיר מעולם לא פגשתי בחורה כמוך,אדווין קולין
מתי נעשה five nights at freddy's,2014-08-08
מתי יצא הסרט הפנתר השחור,2018-02-16
מי שיחק את ג'וני קאש בהולך בדרכי,חואקין פיניקס
all i need is the air that i breathe מי שר את,ההוליס
מי שר את השיר האם לא הדהמתי אותך הפעם,The Delfonics
מתי יצא צ'ארלי בממלכת השוקולד,2005-07-10
מהו גיל השתייה החוקי בטורקיה,18.0 שנה
rock of ages-האם טום קרוז שר ב,yes
איפה נמצא היכל התהילה של עולם הגולף,ארצות הברית
מתי היפה והחיה נפתח בתיאטראות ברודוויי,1994-04-18
איפה מתרחש קפטן אמריקה חייל החורף,וושינגטון די. סי.
מי האדם החי העתיק ביותר שאי פעם הוקלט,ז'אן לואיז קלמן
מהם שמות סרטי מאטריקס,מטריקס
מה שם הכלב מצעצוע של סיפור,סלינקי
מה הייתה התרפצות הר הגעש האחרונה בארצות הברית,2018
מי כתב את  i got you under my skin,קול פורטר
מה היה משחק הבייסבול הארוך ביותר בהיסטוריה בליגה,משחק בייסבול מקצועי ביותר
מיהו הפירסט בייסמן של היאנקיז,אדווין אנקרנסיון
מי היה האדם הראשון שהלך על הירח,ניל ארמסטרונג
כמה קבוצות NFL בכדורגל יש בקליפורניה,4.0
מתי הלך האדם על הירח,"יולי 20, 1969"
כמה ליגות קיסוס יש בארצות הברית,8.0
walk like a man מי שר את השיר,פרנקי ואלי
מי כתב את קח את זה לקצה על ידי הנשרים,גלן פריי
המצולם tv show the kitchen איפה,ארצות הברית
מיהו שחקן האן-בי-איי הזקן ביותר שעדיין משחק,וינס קרטר
מי מגלם את הדוד ג'וש בהעולם של ריילי,אוריה שלטון
מה קוטר כדור הארץ בקו המשווה,7917.5 מיל
מי שיחקה את צ'לסי בשני גברים וחצי,ג'ניפר טיילור
"כמה חיילי ארה""ב מתו במלחמת וייטנאם",58220.0
neither a borrower or a lender be מי אמר,פולוניוס
מי שר ראשון את עשיתי את זה בדרך שלי,פרנק סינטרה
מי שר את השיר ג'ים גנדרן להצלה,Black Oak Arkansas
איפה החנות הגדולה ביותר בעולם,קוריאה הדרומית
מיהו שחקן הבייסבול בעל השכר הגבוה ב-mlb,אלכס רודריגז
מי שר את those were the days my friends,מרי הופקין
מתי שוחררו שודדי התיבה האבודה,1981-06-12
מה הייתה מסעדת המזון המהיר הרשונה אי פעם,מקדונלד'ס
מהו גיל העזיבה המינימלי בבתי הספר בבריטניה,18.0 שנה
מי משחק את גנדלף בשר הטבעות,איאן מק'קלן
these boots were made for walking מי שר,ננסי סינטרה
nfl מי השחקן המבוגר ביותר ששיחק ב,ג'ורג' בלנדה
NBAהכי גדול ב jumbotron למי יש את ה,יוסטון טקסאנס
מי משחק את וויל הורטון בימי חיינו,דילן פאטון
מי הם הסנטורים ממדינת קליפורניה,דיאן פיינסטיין
מי שר את השיר הפעם ראשונה שאי פעם ראיתי את הפנים שלך,רוברטה פלאק
מה המשקל של אייפון 7,4.87 אונקיה
מתרחש באיזה שלב של מחזור התא  dna-שכפול ה,שלב S
מי החליף את johnny carson ב the tonight show,ג'יי לנו
כמה קודקודים יש בפירמידה בעלת בסיס מרובע,5.0
מתי צולמה עונה ראשונה של one of stranger things,2016
מתי הייתה הפעם האחרונה שהיאנקיז זכו בסדרה עולמית,2009
מי כיכב בהיום בו עמדה האדמה,מייקל רניי
wake me up before you go go מי שר,Wham!
מה הגובה בנבדה שבלס-ווגס,610.0 מטר
מתי הם עושים עונה חדשה של ריברדייל,2019-10-10
מתי נקבעו הכללים להתיישבות באפריקה,1884
באיזה מחוז נמצאת צ'רי היל בניו ג'רזי,מחוז קמדן
מהו שמו השני של הצלב האדום,הצלב האדום
מי זכה באליפות המדינה בפוטבול במכללות בשנה שעברה,פוטבול גאות ארגמן אלבמה
"מי שכתב ""fear and loathing in las vegas""",האנטר ס. תומפסון
איזה בסיס חיל האוויר נמצא ליד פנסקולה פלורידה,Naval Air Station Pensacola
איך קוראים לאשת פרד פלינגסטונס,וילמה קדמוני
מתי יצא הסרט המקורי של godzilla,1954-10-27
היסטוריה nbaב steals למי יש הכי הרבה,ג'ון סטוקטון
מי מגלמת את תפקיד האישה בכולם אוהבים את ריימונד,פטרישיה היטון
מתי יצא הסיפור של היפה והיחה,1740
מי השחקנים המשתתפים בסרט רד,מרי-לואיז פרקר
כמה טורבינות רוח יש בארצות הברית,57636.0
מה השם של מלחמת הכוכבים החדש,מלחמת הכוכבים - פרק 9: עליית סקייווקר
arms of an angel מי כתב את השיר,שרה מקלכלן
מי שר את השיר,ננסי סינטרה
את מי משחקת מילי בובי בראון בדברים מוזרים,11
מי משחק את אייס קינג בהרפתקאות פין וג'ייק,טום קני
מתי זכתה diamondbacks  באליפות העולם,2001
מיהו המאמן של cleveland cavaliers,ג'ון ביליין
מתי יצא השיר אהבה מזוהמת,1981
מתי ליברפול זכתה לאחרונה בפרמייר ליג,1989
מהו שמה של ההוריקו שהיכתה את פורטו ריקו,הוריקן מריה
מהי המדינה הקטנה ביותר בארצות הברית של אמריקה,רוד איילנד
מי היה האיש הזקן ביותר שטיפס על האוורסט,Yūichirō Miura
מתי הייתה הפעם האחרונה שאטלנטה ברייבס זכו בוורלד סיריס,1995
premier leagueמתי לסטר סיטי זכו ב,2016
מאיזה גיל מותר לשתות בקנדה,18.0
איזה שיר  כתב elton john  למלך האריות,גלגל החיים (שיר)
מי הוא מספר אחד ברשימת פורבס,ג'ף בזוס
איזה קבוצות ירדו ליגה בעונה שעברה פרמייר ליג,קארדיף סיטי
מתי סקוטלנד נהייתה חלק מבריטניה,1707
למי יש הכי הרבה שערים בהיסטוריה של ליגת האלופות,כריסטיאנו רונאלדו
מי אמר ועכשיו השאר הסיפור,פאול הארוי 
מי שר את השיר השמש אינה זורחת כשהיא אינה,ביל ווית'רס
מי זכה שנה שעברה ב,אמריקן ליג
my boyfriend's back מי שר את שיר,המלאכים
מי שר את,רונאן קיטינג
מי המתעמל הכי מעוטר בכל הזמנים,סימון ביילס
איפה מתחיל ומסתיים נהר קולומביה,ארצות הברית
מה היריד הגדול ביותר בארצות הברית,Minnesota State Fair
למי יש אף אדום צ'יפ או דייל,העמק
מי כיכב במתחת לכוכב הקופים,צ'רלטון הסטון
מהם ארבעת חלקי דיסניוורלד,ממלכת הקסם
כמה אונקיות זה שוט של ליקר,1.5 אונקיה
מי שר את שיר הקאנטרי how do you like me now,טובי קית'
איפה צולם כתום זה השחור החדש,ניו יורק
מתי צולם סרט תבונה ורגישות,דבון
מי בסרט חמישים גוונים של אפור,ג'ניפר אילי
מתי ארגנטינה זכתה בגביע העולם הראשון שלה,1978
מי הוא מועדון הבייסבול המצליח בעולם,ריאל מדריד
באיזה יום נופל יום העבודה ב 2018,2018-09-03
מי משחקת את פאם במופע שנות ה-70,איב פלמבר
sitting by the dock of the bay מי שר,אוטיס רדינג
מתי זכו קולורדו רוקיס בסדרה העולמית,2007
מי שר הביטחון הנוכחי של הודו,ריינאת סינג
מי שר את i can't get no satisfaction,הרולינג סטונז
מי עושה את הקריינות בסלבס יוצאים לדייט,רוב בקט
מתי הוואי נהייתה למדינה בארצות הברית,1959-08-21
מתי יצא חמישים גוונים של אפור,2015-02-13
מתי נוצר הסרט צ'יטי צ'יטי באנג באנג,1968-12-12
מי כתב את השיר call me the breeze,ג'יי ג'יי קייל
איפה  the office  מצולמת,פנסילבניה
מתי צולם,1992-07-01
איזה אלמנט בטבלה המחזורית הוא בעל נקודת ההיתוך הגבוהה ביותר,פחמן
מי שר את we don't need no education,פינק פלויד
מי היה האדם האחרון שהוצא להורג על ידי כיתת הירי,רוני לי גרדנר
"כמה תיקונים יש בארה""ב",27.0
everything i do i do for you מי שר,בריאן אדמס
כמה נקודות יש לסטפן קרי בקריירה שלו,16315.0
מי שר את השיר oh what a night,ארבע העונות
מאיפה צבגון אדום-אוזן,מפרץ מקסיקו
nbaמתי הסוכנות החינמית התחילה ב,1988
מי שיחק ב diary of a wimpy kid,רוברט קפרון
don't stop thinking about tomorrow מי שר את השיר,פליטווד מק
מה היה מחיר הדלק בשנת 1979,0.86 דולר אמריקני
מי האדם השני שהלך על הירח,באז אולדרין
מי זכתה בוורלד סיריס הכי הרבה פעמים,ניו יורק יאנקיז
כמה זהב יש בפורט נוקס,147300000.0 אונקיה
איפה פז במופע שנות ה70,האי הום
מתי פרס שינתה את שמה לאירן,1935
מי שר את,ביבי רקסה
מי שיחק את הרוזן אולף בסדרה של צרות,ניל פטריק האריס
מהרחק בין אטלנטה ג׳ורג׳יה למוביל אלבמה,328.1 מיל
כמה מיילים בין וואקו טקסס לבין דאלאס טקסס,95.0 מיל
מי שר to make you feel my love,אדל
מי שר את השיר too much time on my hands,styx
כמה תארי NBA היו למייקל ג׳ורדם,6.0
מי שר את כולנו חיים בצוללת צהובה,הביטלס
כמה רחוק קורפוס כריסטי טקסס מאוסטין טקסס,216.9 מיל
sweet home alabama מתי לנרד סקינרד שחרר את,1973
האם איליי מאנינג עדיין הקוורטרבק של הניו יורק ג'איינטס,no
let sleeping dogs lie מי טבע את הביטוי,ג'פרי צ'וסר
i can't make you love me מי כתב,מייק רייד
מתי בפעם האחרונה זכתה ליברפול בגביע,2019
מי מככב בהנסיך המדליק מבל אייר,טטיאנה עלי
מה הטמפרטורה החמה ביותר המתועדת בכדור הארץ,134.1 מעלות פארנהייט
מתי הייתה הפעם האחרונה שנעשה שימוש בגיליוטינה בצרפת,1981-09
מי מגלם את פיטר פארקר בספיידרמן המופלא,אנדרו גארפילד
היכן מיוצרת גלידת blue bunny של wells,פלימות'
מתי שודרה הסדרה משפחת קרדשיאן,2007-10-14
כמה תארי nba יש לקובי בראיינט,5.0
מי שר i never promised you a rose garden,לין אנדרסון
abraham martin and john מי שר את השיר,מרווין גיי
מתי יצא,1986-02-21
עמה רחוקה סן דייגו מטיחואנה,31.9 קילומטר
איך קוראים לראש המאפיה,ראש ארגון פשע
כמה אונקיות יש בבקבוק וודקה עם ידית,59.2 אונקיה
מתי יצא ברבי בבית החלומות,2012-05-11
מי שר את השיר i fought the law and the law won,הקלאש
מתי נבנו מגדלי התאומים בעיר ניו יורק,2006-04-27
מי שיחק את איש הפח בקוסם מארץ עוץ,ג'ק הולי
i wear my sunglasses at night ששר את השיר,קורי הארט
מתי הייתה הפעם האחרונה שהסטיילרים הלכו לסופרבול,2011-02-06
מי כיכב בסרט,ריטה מורנו
מתי נחתמה לראשונה הכרזת העצמאות,1776-08-02
באיזו עיר זה שמתי ברז למורה,שיקגו
איפה נמצא השעון המדויק ביותר בעולם,אמריקה הצפונית
מתי יצא הסרט מלתעות המקורי,1975-06-20
מי כתב את השיר you can leave your hat on,רנדי ניומן
NFL כמה שחקנים יש בסגל של קבוצת,53.0
מה אוכלוסיית דקוטה צפון וויליסטון,25586.0
מה שמותיהם של מלאכי הקשת,גבריאל
מה הם כל סרטי הקוסם מארץ עוץ,הקוסם מארץ עוץ
מי היה הנשיא האחרון שנרצח,ג'ון פיצג'רלד קנדי
מתי הם הפסיקו להפיק את wheat penny,1958
מתי נבנה mgm grand  בלאס וגאס,1993-12-18
מתי פאדרס ניצח בסדרה העולמית,1984
מי זכה בפלייאוף בסופרבול,ניו אינגלנד פטריוטס
מתי הפילדלפיה פיליז זכו בסדרה העולמית,2008
super bowl זכה  browns האם קליוולנד,yes
מה שמות החברים ב- bts,קים נאם-ג'ון
מי היה הנשיא הראשון בפועל של ארצות הברית,ג'ורג' וושינגטון
מתי הצטרפה אנגילה לאיחוד האירופי,1973
a whole new world מאיזה סרט לקוח השיר,אלאדין
מיהו השחקן שעושה את allstate בפירסומות,דניס הייסברט
מה המרחק משארלוט שבצפון קרולינה לצ'רלסטון שבדרום קרולינה,209.5 מיל
מהי אוכלוסיית פאלם ביי פלורידה,114194.0
איפה האולימפיאדה מתקיימת בשנת 2024,צרפת
מתי הייתה הפעם האחרונה שמישהו הלך על הירח,1972-12-11
האם וושינגטון די. סי. היא אחת מ-50 המדינות,no
מי שר את איימי מה את רוצה לעשות,פיור פריירי ליג
מתי זכו הבלאקהוקס בגביעת סטנלי,2015
מי הוא השריף השחור באוכפים לוהטים,קליבון ליטל
מי האדם הגבוהה ביותר בעולם,רוברט וודלו
מתי משחקים minnesota vikings   את המשחק הראשון שלהם,1961-09-10
כמה דקות יש בסיבוב אגרוף,3.0 דקה
all i want for christmas is you מי שר,מריה קארי
i think it's going to rain today מי שא את,רנדי ניומן
מיהם השופטים ב america got talent,סיימון קאוול
מי זכה בתחרות השנתית של NBA ברוקי 2017,מלקולם ברוגדון
כמה דפים יש בספרי הארי פוטר,3407.0
כמה עמודים יש בספר 1 של ארץ האגדות,438.0
כמה שווה מטבע ספרדית בשם Pieces of Eight,50.0 2000.0 דולר אמריקני
של מי הפנים בשטר הדולר,ג'ורג' וושינגטון
מתי אנו חוגגים את יום הילדים בהודו,11-14
splish splash i was taking a bath מי שר,בובי דארין
כמה נשיאים היו לארצות הברית,45.0
באיזה גיל הייתה המלכה אליזבת כשהפכה למלכה,27.0 שנה
i got the moves like jagger מי שר את המילים,מארון 5
land of hope and glory מי כתב את המוזיקה עבור,אדוארד אלגר
מי שר את השיר מתי אני אהיה נאהבת,לינדה רונסטאדט
the bluest skies are in seattle מי שר,פרי קומו
בסופרבול coltsמי שיחק נגד ה,ניו יורק ג'טס
כמה פרקים יש בעונה השנייה של מתקפת הטיטאנים,12.0
מי שיחק את הורטון בהורטון שומע מישהו,ג'ים קארי
מתי יצא הסרט הנסיך המדליק מבל אייר,1990-09-10
מי כתב את הספר for whom the bell tolls,ארנסט המינגוויי
nba-מי קיבל את טכניות פולס ביותר ב,ראשיד וולאס
מי הם חברי  canned heat,בוב הייט
מי כתב את השיר קח את העבודה הזו ודחף אותה,דוד אלן קו
מי כתב את השיר בית השמש העולה,ג'ורג'יה טרנר
מתי התחילו הקהילות הנוצריות הראשונות בבריטניה,המאה ה-1
איפה משחקים red river rivalry,דאלאס
מי זכה בטור דה פראנס בשנה שעברה,אגן ברנאל
מתי נכתב הספר קמט בזמן,1960
מי שר את the house of the rising sun המקורי,The Animals
מי שר את אתה יכול להרגיש את האהבה הלילה,נייתן ליין
מיהם השחקנים ששיחקו את james bond,פירס ברוסנן
מי שר את סוף סוף זה קרה לי,CeCe Peniston
מה הוא שמם של חמשת האגמים הגדולים,ימת מישיגן
מהם קודי אזור החיוג  של ניו ג'רזי,609.0
מי זכה בשנה שעברה בתחרות אכילת נקניקיות,ג'ואי צ'סטנוט
מי עשה את הקול של טיאנה בנסיכה והצפרדע,אניקה נוני רוז
כמה כוכבים יש במערכת השמש,8.0
southwest  מה הם העיקריות של חברת התעופה,שיקגו
מה השנה בה הסרט צלילי המוזיקה יצא,1965
מתי יצא הסרט שלגיה,1937
מה הנקודה הכי נמוכה בכדור הארץ,ים המלח
כמה ימים עברו מאז שמישיגן ניצחה את אוהיו סטייט,2892.0 יממה
מתי יצא הסרט המקורי של exorcist,1973-12-26
מי שר את ההשיר  i'm coming home,דידי - כסף מלוכלך
מתי יצא מלך האריות בתיאטרון,2019-07-09
מי השחקנית שמגלמת את ג'יני וויזלי,בוני רייט
כמה פארקים יש בעיר ניו יורק,1700.0
"מה השכר החציוני בארה""ב",56516.0 דולר אמריקני
מי גילמה את דמות האם בכולם אוהבים את ריימונד,דוריס רוברטס
במקור collins  מאיפה שם המשפחה,אירלנד
מהם שמות הילדים ב despicable me,אדית
מי שר את השיר עבר זמן מה,סטיינד
מי זכה באליפות צרפת הפתוחה השנה,רפאל נדאל
מתי יצא המשחק יום שישי ה-13,2017-05-26
מה היה הנשיא הראשון של בית המשפט העליון,ג'ון ג'יי
hooked on a feeling מי שר את הגרסה המקורית של,ב. ג'יי. תומאס
מה היה השיר המפורסם ביותר ב1981,Bette Davis Eyes
מי הוא השחקן שמגלם את mathias ב- longmire,זאן מקלארנון
איפה נמצא 7 mile bridge בקיז שבפלורידה,ארצות הברית
מי שר שר את הגרסה המקורית של יין אדום אדום,ניל דיימונד
Y מתי הייתה צריך להיוולד כדי להיחשב דור,1981-1996
למי בכל העולם יש הכי הרבה עוקבים באינסטגרם,כריסטיאנו רונאלדו
מתי יצא מרד הנעורים,1955
מתי הייתה הפעם האחרונה שמנצ'סטר יונייטד זכתה באליפות העולם,2008
מי גילם את בילי בקן הקוקייה,בראד דוריף
we're not gonna take it מי שר,טוויסטד סיסטר
מהי המדינה השנייה בגודלה בדרום אמריקה,ארגנטינה
כמה פרקים יש במשחק של ווסטינג,30.0
מתי קרה נס ההדסון,2009-01-15
למי יש את הכי זכיות ב- nfl,שיקגו ברס
PGA מי שחן הגולף הזקן ביותר שניצח טורניר,סאם סניד
למי יש הכי הרבה כפפות זהב בהיסטוריה של ה- MLB,גרג מדוקס
מה מספר התושבים בפארגו שבצפון דקוטה,122359.0
מי שר את,Whitesnake
למי יש את הממוצע ההטלות הגבוה ביותר ב al in 2011,מיגואל קבררה
היכן נמצאים איילים בארצות הברית,איידהו
The Price Is Righ מי המארח המקורי של,ביל קולן
איזה שכבה של העור אחראית לחלוקת התא והחלפתו,שכבת תאי בסיס
מה הגובה של רוזוול בניו מקסיקו,3573.0 רגל
מי מתמודד למפלגה הדמוקרטית בשנת 2020,ג'ו ביידן
מהם שמות הדמויות בstranger things,11
מתי מארוול יוציאו סרט חדש,2019-11-08
"מי כתב את ספר corinthians בתנ""ך",פאולוס
guns and roses-מי היה המתופף המקורי ל,סטיבן אדלר
"מה הייתה אוכלוסיית ארה""ב ב-1970",203200000.0
alpha chi omega איזה צבעים של,ירוק זית
מי כתב את השירים לשיר אשיר בגשם,ארתור פריד
מהו הסרט שובר הקופות הגבוה ביותר בכל הזמנים,הנוקמים: סוף המשחק
